#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
5.0%,1000,4.000000000000003,-1486995.9640808497,229189.22922750557,-1257806.734853344,292.4542419684925,976.6934466513134,0.9596363981898627,0,--
10.0%,2000,7.999999999999562,-1473263.6672058497,234282.76235483598,-1238980.9048510138,298.9537854885597,976.6934466513134,0.9596363981898627,107,0:58
15.0%,3000,11.999999999999122,-1471463.4640808497,235431.27070319233,-1236032.1933776573,300.41932616664985,976.6934466513134,0.9596363981898627,107,0:55
20.0%,4000,15.999999999998682,-1471028.2453308497,236484.75493534765,-1234543.490395502,301.76361242992317,976.6934466513134,0.9596363981898627,106,0:51
25.0%,5000,20.000000000000018,-1472373.2297058497,235572.20708622894,-1236801.0226196207,300.59916639389644,976.6934466513134,0.9596363981898627,106,0:48
30.0%,6000,24.000000000001354,-1473955.9172058497,235657.29248832742,-1238298.6247175222,300.7077386285393,976.6934466513134,0.9596363981898627,106,0:45
35.0%,7000,28.00000000000269,-1472176.6828308497,236157.57290161512,-1236019.1099292345,301.3461156130637,976.6934466513134,0.9596363981898627,106,0:42
40.0%,8000,32.00000000000402,-1470963.1984558497,236361.78448754802,-1234601.4139683016,301.6066974247243,976.6934466513134,0.9596363981898627,106,0:39
45.0%,9000,36.000000000001805,-1473433.3234558497,236444.89243282087,-1236988.4310230287,301.712746348656,976.6934466513134,0.9596363981898627,106,0:35
50.0%,10000,39.99999999999959,-1474618.2609558497,235486.331369819,-1239131.9295860305,300.48958568789726,976.6934466513134,0.9596363981898627,106,0:32
55.0%,11000,43.99999999999737,-1473146.6515808497,236002.1360922237,-1237144.515488626,301.1477722859458,976.6934466513134,0.9596363981898627,106,0:29
60.0%,12000,47.999999999995154,-1473452.9640808497,236408.3384795452,-1237044.6256013045,301.6661021030594,976.6934466513134,0.9596363981898627,106,0:26
65.0%,13000,51.99999999999294,-1472309.8234558497,235298.87121149775,-1237010.9522443519,300.2503793399989,976.6934466513134,0.9596363981898627,106,0:22
70.0%,14000,55.99999999999072,-1471587.0265808497,233963.1787136651,-1237623.8478671846,298.54598451187684,976.6934466513134,0.9596363981898627,106,0:19
75.0%,15000,59.9999999999885,-1473843.5422058497,235692.1235782935,-1238151.4186275562,300.75218443451064,976.6934466513134,0.9596363981898627,106,0:16
80.0%,16000,63.99999999998629,-1473426.0422058497,235715.88613173124,-1237710.1560741183,300.7825063635833,976.6934466513134,0.9596363981898627,106,0:13
85.0%,17000,67.99999999999118,-1474159.6828308497,235683.4500102289,-1238476.2328206208,300.74111662917767,976.6934466513134,0.9596363981898627,106,0:09
90.0%,18000,71.99999999999606,-1473049.2453308497,234402.63771085395,-1238646.6076199957,299.1067510380015,976.6934466513134,0.9596363981898627,106,0:06
95.0%,19000,76.00000000000095,-1471495.4797058497,235417.64094595797,-1236077.8387598917,300.4019340739515,976.6934466513134,0.9596363981898627,105,0:03
100.0%,20000,80.00000000000584,-1471429.6047058497,235673.760136499,-1235755.8445693506,300.72875197885793,976.6934466513134,0.9596363981898627,105,0:00
